SNo,Name,Category,Unit Price,Aliases,Image URL,Visual Keywords,StockQty
1725,Rush Elaichi,Spices & Masalas,0,rush elaichi,https://drive.google.com/file/d/1KmOqcJuID31O2BqG28XsmPUBy0K_1_VN/view,rush elaichi,0
1726,Bru Green Label,Tea & Coffee,0,bru green label,https://drive.google.com/file/d/17IQUppk6YpXFyLOPc_odw13QcTijJo5c/view,bru green label,0
1727,Iff Mango fLAVOUR,Others,0,iff mango flavour,https://drive.google.com/file/d/1eIm7PQm2gnEc44hicgMQ6yFYQBd84O_f/view,iff mango flavour,0
1728,Pakrika Pow,Others,0,pakrika pow,https://drive.google.com/file/d/1D1I7yT_8dbGfTPJl1wswy9vWU7bwpuay/view,pakrika pow,0
1729,Sugar Sachets,Others,0,sugar sachets,https://drive.google.com/file/d/1ijTkA9MNjmCvok2IYvcHnh2uCZbvgIpy/view,sugar sachets,0
1730,Grb Ghee,Oils & Ghee,0,grb ghee,https://drive.google.com/file/d/19mJ9a8VXawZPcaCMUl13rayESFqdMf0R/view,grb ghee,0
1731,Sweet Corn,Rice & Flour,0,sweet corn,https://drive.google.com/file/d/1Ctz9lG_G73N9vPxRY23_XXK02JEec7j1/view,sweet corn,0
1732,Bansal Soya,Others,0,bansal soya,https://drive.google.com/file/d/1GM1bjJzWvyNihmb5sR425fPfmoNGiJvy/view,bansal soya,0
1733,Kings Mustard Oil,Oils & Ghee,0,kings mustard oil,https://drive.google.com/file/d/1BeUMuqZ0NXnOyyyhrSJDanW08ETMRKP5/view,kings mustard oil,0
1734,Del Monte Tomato Ketcheup,Others,0,del monte tomato ketcheup,https://drive.google.com/file/d/1mpPnsJEiSApnUUKT0igmDj_rCj0RHrPn/view,del monte tomato ketcheup,0
1735,JIT Polish and Dal,Pulses & Dals,0,jit polish and dal,https://drive.google.com/file/d/1DLVIqa49u5Qk2ant8J86cb2JrqgyoUAO/view,jit polish and dal,0
1736,Instant Hyderation Coconut,Others,0,instant hyderation coconut,https://drive.google.com/file/d/1gBusQ39LUS5cF36YqDstowEXrGxxJrll/view?usp=drivesdk,instant hyderation coconut,0
1737,Kulthi,Others,0,kulthi,https://drive.google.com/file/d/1T5H6U549mLeBfzaO-a7mYMolFGhG4mHZ/view?usp=drivesdk,kulthi,0
1738,S UDAD,Others,0,s udad,https://drive.google.com/file/d/1NUf07JyBvUWhnbiSclzqqnRkMZBjMcDm/view?usp=drivesdk,s udad,0
1739,Udad Dal,Others,0,udad dal,https://drive.google.com/file/d/1oJLtGSadptZwa6IGJgc_tnSv9JoSghDj/view?usp=drivesdk,udad dal,0
1740,"Jatamansi, Sangri",Others,0,"jatamansi, sangri",https://drive.google.com/file/d/1MelZzNqLndWGD822GjhOxQh9kdIesTDC/view?usp=drivesdk,"jatamansi, sangri",0
1741,Salted Peanuts,Others,0,salted peanuts,https://drive.google.com/file/d/1v90GlIk4uY_19QcrlSFi9Fp7oJOkIGKm/view?usp=drivesdk,salted peanuts,0
1742,Dried Pineapple Coin,Others,0,dried pineapple coin,https://drive.google.com/file/d/1RCRZK0ZtluE4RYPKU2Miee6smggxL6ZP/view?usp=drivesdk,dried pineapple coin,0
1743,Onion Flakes,Others,0,onion flakes,https://drive.google.com/file/d/169U4vuv8KX_VcP0ejlGoyS7Ye49AEYz6/view?usp=drivesdk,onion flakes,0
1744,Mishri Sugar Balls,Others,0,mishri sugar balls,https://drive.google.com/file/d/1GIGZJPr2hccR4dYfe6ZVAvv6NTlVyAwE/view?usp=drivesdk,mishri sugar balls,0
1745,Angel Dry Yeast,Others,0,angel dry yeast,https://drive.google.com/file/d/1hPy-A1FOXa6uY8-XkJQbNb9illJ4yoK-/view?usp=drivesdk,angel dry yeast,0
1746,Punjabi Rice Papad,Others,0,punjabi rice papad,https://drive.google.com/file/d/1o2kDcSkHHN8-8Br83lo-PuN5ZXMMwdjx/view?usp=drivesdk,punjabi rice papad,0
1747,Veeba Tomato Ketchup,Others,0,veeba tomato ketchup,https://drive.google.com/file/d/16woNf9ASDTTHZ_nrRqgysmfJL4aoEdjv/view?usp=drivesdk,veeba tomato ketchup,0
1748,Amul Butter,Others,0,amul butter,https://drive.google.com/file/d/1nYSxLHBVu_bEM_tYc5CmPUggNmu9FAWH/view?usp=drivesdk,amul butter,0
1749,Mango Crush,Others,0,mango crush,https://drive.google.com/file/d/1-18Is6YzXCuXBxnKQG_edkSisI6MDNdb/view?usp=drivesdk,mango crush,0
1750,Malas Orange Crush,Others,0,malas orange crush,https://drive.google.com/file/d/1zZTIQr2duSYRnkiYSaupwBuUpB3ZnEAu/view?usp=drivesdk,malas orange crush,0
1751,GC Mango Pulp,Others,0,gc mango pulp,https://drive.google.com/file/d/1Jrlv_wF-lbcENEkfIMuYg8Gtu8lguJfJ/view?usp=drivesdk,gc mango pulp,0
1752,Try Me Garlic Papad,Others,0,try me garlic papad,https://drive.google.com/file/d/1kR6Cah-HkLqtERPXcSIiFjoaeHoASnhy/view?usp=drivesdk,try me garlic papad,0
1753,999 Food Colour Powder,Others,0,999 food colour powder,https://drive.google.com/file/d/1BZDKy6APRK_KzHejDEXgNHeDKsr_NVaC/view?usp=drivesdk,999 food colour powder,0
1754,Kesari Rava,Others,0,kesari rava,https://drive.google.com/file/d/1eTNiH07RxfPCfdbmx1p7WQ8jGvJRJyPL/view?usp=drivesdk,kesari rava,0
1755,Knorr Sauce Powder,Others,0,knorr sauce powder,https://drive.google.com/file/d/13kxfemynfEwcaNjkbu8wBKmuJRSM4SSR/view?usp=drivesdk,knorr sauce powder,0
1756,Nieu Eggless Mayonnaise,Others,0,nieu eggless mayonnaise,https://drive.google.com/file/d/1HjSzPuePwzBN5GRU8Rj_CtPOo9VzFeNu/view?usp=drivesdk,nieu eggless mayonnaise,0
1757,Monin Serbut,Others,0,monin serbut,https://drive.google.com/file/d/14717901N-1ajOG61KvlAose5gaNFLCrk/view?usp=drivesdk,monin serbut,0
1758,Capsico Pepper,Others,0,capsico pepper,https://drive.google.com/file/d/1_oUyQOIP3VD_Pn02wkUz30t3aJIn-t4n/view?usp=drivesdk,capsico pepper,0
1759,Monin Vanila Syrup,Others,0,monin vanila syrup,https://drive.google.com/file/d/1p-9iNRjRURUPX8NltSkIk6J64ijevRsm/view?usp=drivesdk,monin vanila syrup,0
1760,Swastik Hing,Others,0,swastik hing,https://drive.google.com/file/d/1lw86rNjcm2j3raMbx9PdEzaNu8u5CO-f/view?usp=drivesdk,swastik hing,0
1761,Trishul Food Colour,Others,0,trishul food colour,https://drive.google.com/file/d/1iHQDUSvzqspfyDvOUNVXIRJGrIxRflwb/view?usp=drivesdk,trishul food colour,0
1762,Disco Papad,Others,0,disco papad,https://drive.google.com/file/d/1DAV4lrSQ80PLQOdsyAIVlVlxhhG3twA_/view?usp=drivesdk,disco papad,0
1763,Bikaner Bhujeya,Others,0,bikaner bhujeya,https://drive.google.com/file/d/19Tj97c3dZRl0nchbmJWW5DBhcB-3yOgM/view?usp=drivesdk,bikaner bhujeya,0
