SNo,Name,Category,Unit Price,Aliases,Image URL,Visual Keywords,StockQty
1157,custard powder,Spices,82,custard powder,,custard powder,50
1158,dark choco chips,Miscellaneous,310,dark choco chips,,dark choco chips,50
1159,deepam oil,Oil & Ghee,105,deepam oil,,deepam oil,50
1160,diet coke,Beverages,48,diet coke,,diet coke,50
1161,ginger garlic paste,Condiments,82,ginger garlic paste,,ginger garlic paste,50
1162,hmt rice,Rice,68,hmt rice,,hmt rice,50
1163,icing sugar,Sugar & Sweeteners,82,icing sugar,,icing sugar,50
1164,india gate classic rice,Rice,185,"biryani, india gate classic rice",,india gate classic rice,50
1165,kissan tomato sauce,Condiments,105,kissan tomato sauce,,kissan tomato sauce,50
1166,lychee tin,Miscellaneous,155,lychee tin,,lychee tin,50
1167,mango pulp,Miscellaneous,85,mango pulp,,mango pulp,50
1168,nestle milkmaid,Dairy,145,nestle milkmaid,,nestle milkmaid,50
1169,paneer tofu,Dairy,125,"biryani, paneer tofu",,paneer tofu,45
1170,piri piri seasoning,Miscellaneous,125,piri piri seasoning,,piri piri seasoning,50
1171,real juice mixed,Beverages,85,real juice mixed,,real juice mixed,50
1172,real juice orange,Beverages,85,real juice orange,,real juice orange,50
1173,real juice pineapple,Beverages,85,real juice pineapple,,real juice pineapple,50
1174,red bull,Beverages,135,red bull,,red bull,50
1175,red label tea,Miscellaneous,225,"chai, tea, red label tea",,red label tea,50
1176,rose water,Miscellaneous,82,rose water,,rose water,50
1177,saffron,Spices,520,saffron,,saffron,50
1178,tabasco sauce,Condiments,205,tabasco sauce,,tabasco sauce,50
1179,tamarind paste,Condiments,72,tamarind paste,,tamarind paste,50
1180,tomato paste,Condiments,82,tomato paste,,tomato paste,50
1181,vanilla essence,Miscellaneous,65,vanilla essence,,vanilla essence,50
1182,water chestnut,Miscellaneous,155,water chestnut,,water chestnut,50
1183,wheat starch,Flour,92,wheat starch,,wheat starch,50
1184,whipping cream,Dairy,210,whipping cream,,whipping cream,50
1185,white chocolate slab,Beverages,310,white chocolate slab,,white chocolate slab,50
1186,white peas dry,Miscellaneous,82,white peas dry,,white peas dry,50
1187,white pepper powder,Spices,165,white pepper powder,,white pepper powder,50
1188,yeast,Miscellaneous,65,yeast,,yeast,50
1189,abida basmati rice - lajwain,Rice,105,"biryani, abida basmati rice - lajwain",,abida basmati rice - lajwain,50
1190,kandi podi 3kg,Spices,680,kandi podi,https://share.google/KandiPodi3Kg,kandi podi,50
1191,badshah pav bhaji masala,Spices,250,badshah pav bhaji masala,,pav bhaji masala,50
1192,sabudana (sago),Miscellaneous,85,sago sabudana,https://drive.google.com/file/d/1m3JYn218LnX14c9QDjwFEqkivDjlT3iv/view?usp=sharing,sabudana,50
1193,Mutmec,Others,0,mutmec,https://drive.google.com/file/d/1yr5gk25FxsqThVOtfD6NSB8VrbQo_Pg8/view,mutmec,0
1194,Double Beans,Pulses & Dals,0,double beans,https://drive.google.com/file/d/1yKuZlIAu-Q5fYQDXyivD7wJs7j5dHyPH/view,double beans,0
1195,Navchetan tea,Tea & Coffee,0,navchetan tea,https://drive.google.com/file/d/1z1vWY8-KP6U5iAs2BvnzWmSZxHUmlT-5/view,navchetan tea,0
1196,Orid Rounds,Others,0,orid rounds,https://drive.google.com/file/d/1A9va54G_x1g6eB2oseGDvSQYJVl78W5k/view,orid rounds,0
1197,Tomato Ketchup,Sauces & Pickles,0,tomato ketchup,https://drive.google.com/file/d/1_bDfQ3UIGeqd5-hYcg-nO07Y7YwC_ljM/view,tomato ketchup,0
1198,Milky Mist Khova,Dairy,300,milky mist khova,https://drive.google.com/file/d/1InZlheQzlJcPdFIQJUfndwDmiBV1ZXIQ/view,milky mist khova,0

1199,Chana Dal 5kg,Pulses & Dals,0,chana dal 5kg,https://drive.google.com/file/d/1CQMd_-7i3VG5BaHoO0rMh_9MIMHCb4kQ/view,chana dal 5kg,0
1200,Pulses 30kg,Pulses & Dals,0,pulses 30kg,https://drive.google.com/file/d/1LI-cFnMQObK5ZhEoSwzy1dwRwwAiVMmJ/view,pulses 30kg,0
1201,Moong Dal 50kg,Pulses & Dals,0,moong dal 50kg,https://drive.google.com/file/d/16ohoBr8FZl5SsYrZz3k1oWgNiswhssKr/view,moong dal 50kg,0
1202,King Toor Dal 30kg,Pulses & Dals,0,king toor dal 30kg,https://drive.google.com/file/d/1TbUhP5GX3Vwpmw5yYsJmSnU1R7bXJHkS/view,king toor dal 30kg,0
1203,555,Others,0,555,https://drive.google.com/file/d/1baTQVgMN1ur7apxQDGTx6i09ANMqfNCx/view,555,0
1204,Fortune Chana Dal,Pulses & Dals,0,fortune chana dal,https://drive.google.com/file/d/1sW67nNU6keF_aAHIHWwQ5YF2_PxVOZ6_/view,fortune chana dal,0
1205,Silver Coin 30kg,Others,0,silver coin 30kg,https://drive.google.com/file/d/1W61t4x3RhYcgV9JDBmL9yjZ6ZECqejxE/view,silver coin 30kg,0
1206,Kasturi 30kg,Others,0,kasturi 30kg,https://drive.google.com/file/d/1bbRccBojAbzbAdvAxGFZEHWPOIB2hAAY/view,kasturi 30kg,0
1207,Sooji 50kg,Rice & Flour,0,sooji 50kg,https://drive.google.com/file/d/1A6UB5THlkayoUZWT4bkalM56BEvvAE_m/view,sooji 50kg,0
1208,Kalasam,Others,0,kalasam,https://drive.google.com/file/d/1VMOeoPDDlOAaX56d3n0khmCNMQRRTWHs/view,kalasam,0
1209,Lasagne,Pasta & Noodles,0,lasagne,https://drive.google.com/file/d/1Bi8KY1-M9126MWNPmCUrLoZfiKfIaH1Z/view,lasagne,0
1210,Asafoetida yellow 99Powder,Spices & Masalas,0,asafoetida yellow 99powder,https://drive.google.com/file/d/1T5C-0GGT-JReK2hQUVH9neLsjPA5mzp8/view,asafoetida yellow 99powder,0
1211,Punjab Masala Papad,Spices & Masalas,0,punjab masala papad,https://drive.google.com/file/d/1F1n9pPP7U_ZtR4jL4DwOs0adPpXy5Tqs/view,punjab masala papad,0
1212,Ache Sambhar Powder,Spices & Masalas,0,ache sambhar powder,https://drive.google.com/file/d/1XrttMDOJMG9ugNwaNlkEN_QpB2e2W8le/view,ache sambhar powder,0
1213,Corinder Powder,Spices & Masalas,0,corinder powder,https://drive.google.com/file/d/1A9GX2Zz1tFGwDundW7L4Y_y3D_VrATlU/view,corinder powder,0
1214,Coffee,Tea & Coffee,0,coffee,https://drive.google.com/file/d/1gE3zz1Sy7veq8fekRnk0plAD8nxXV6Bo/view,coffee,0
1215,Coffee Sugar,Tea & Coffee,0,coffee sugar,https://drive.google.com/file/d/1cp56PdVSU8grY5j4Z9tQIATZuZcg1UsF/view,coffee sugar,0
1216,365 Suji,Rice & Flour,0,365 suji,https://drive.google.com/file/d/1EzTaHkhItcPKpj1pKNVS5MZWGh-yXal4/view,365 suji,0
1217,Raw Chai Seed,Tea & Coffee,0,raw chai seed,https://drive.google.com/file/d/127S0739MWF1GAw0l3-SILHTVMFJaUvZp/view,raw chai seed,0
1218,Chironji Seeds,Dry Fruits & Nuts,0,chironji seeds,https://drive.google.com/file/d/1MT9LHoifFZ1XH2JcIiUU6P_fjje6LH0T/view,chironji seeds,0
1219,Triangular Samosa Padpad,Snacks & Papad,0,triangular samosa padpad,https://drive.google.com/file/d/1GmeSW7IzZeccDe36Dp3rodB0jgzZprRY/view,triangular samosa padpad,0
1220,Popcorn Makka,Snacks & Papad,0,popcorn makka,https://drive.google.com/file/d/1xaEHFpirszDMnWNeYv1NAE38f79B4UtG/view,popcorn makka,0
1221,S Mong Spl,Pulses & Dals,0,s mong spl,https://drive.google.com/file/d/1MUMovKtlhLK4u3j0FGuFgfEtkMljBd3G/view,s mong spl,0
1222,Wheat Rava,Rice & Flour,0,wheat rava,https://drive.google.com/file/d/17VvibgQ5KE8KpefYiruMcx2OFSImuAxE/view,wheat rava,0
1223,Khas Khas,Spices & Masalas,0,khas khas,https://drive.google.com/file/d/1iWRajlKB1PlMratfB73Mq4iKnXWMAhaO/view,khas khas,0
1224,Dried Ginger Tools,Spices & Masalas,0,dried ginger tools,https://drive.google.com/file/d/1vgQYJhMpKZNbaaYMf7ztZa1JqhZ5-z1_/view,dried ginger tools,0
1225,Sugar,Sugar & Salt,0,sugar,https://drive.google.com/file/d/1atIO8LEA8YuvdKJcf-SwDAzI9JeLrdXt/view,sugar,0
1226,Hazel Nuts,Dry Fruits & Nuts,0,hazel nuts,https://drive.google.com/file/d/1vPWr7D-TIOFOIg3b9QRKFV35YZMIWbUj/view,hazel nuts,0
1227,Makhana,Dry Fruits & Nuts,0,makhana,https://drive.google.com/file/d/1O-spebzcM7jR2Chpgg1CHar0xIR-ZRL_/view,makhana,0
1228,Kiwi Slice,Others,0,kiwi slice,https://drive.google.com/file/d/1WzB1E7hfl8xohg9AtKXXcOt1-fZ8CCzY/view,kiwi slice,0
1229,Roseberry,Beverages & Syrups,0,roseberry,https://drive.google.com/file/d/1a-aKQIkQjvWiDmoEFs-Sllg7v_9vbQXM/view,roseberry,0
1230,Tutty Fruity R L,Dry Fruits & Nuts,0,tutty fruity r l,https://drive.google.com/file/d/1qjtWOYo6n9zNcTxBpz0jHW32ZOCjWABb/view,tutty fruity r l,0
1231,Amul Mozrella,Dairy,0,amul mozrella,https://drive.google.com/file/d/18FmcRhvAV6r6oTk8rjE-MSu7C5JRV3DA/view,amul mozrella,0
1232,Keer,Others,0,keer,https://drive.google.com/file/d/1D3OEnAhxZrAv_EsVWnuxMdD6_BQDMx8K/view,keer,0
1233,Wheel Fryums,Snacks & Papad,0,wheel fryums,https://drive.google.com/file/d/1BYFRYRZPwd5N492fUXonyDyO9zCy3u08/view,wheel fryums,0
1234,Cholocate Chips,Baking,0,cholocate chips,https://drive.google.com/file/d/18RpSp35zaV2yAa1CXikRD0o2D8GfRT1q/view,cholocate chips,0
1235,Amul Butter Unsalted,Spices & Masalas,0,amul butter unsalted,https://drive.google.com/file/d/1s_cliJQ21LuV4wlpK2Ktqhyay0dd9sEf/view,amul butter unsalted,0
1236,Badi,Snacks & Papad,0,badi,https://drive.google.com/file/d/18nibNTOT-oOrNGSJ38FepaewwGp8o-Mt/view,badi,0
1237,Wheat Whole,Rice & Flour,0,wheat whole,https://drive.google.com/file/d/1t-MCwCJTT58j0MIslICBcBHNkeU98naX/view,wheat whole,0
1238,Sunflower SEEDS,Oils & Ghee,0,sunflower seeds,https://drive.google.com/file/d/1mAbDak5OMmjPEI0R84C-9BFb7fa6C2Pl/view,sunflower seeds,0
1239,Moth,Pulses & Dals,0,moth,https://drive.google.com/file/d/171aJ_vHsxEcvdUKCUeMGJul6Yah7LNX-/view,moth,0
1240,Kaju 2pcs,Dry Fruits & Nuts,0,kaju 2pcs,https://drive.google.com/file/d/1ikWVbzyJLMF21blph5filYoGFdlkPJJC/view,kaju 2pcs,0
1241,Fryola Oil Tin,Oils & Ghee,0,fryola oil tin,https://drive.google.com/file/d/1g-3ELBqGvh4DMYkGvgPZntlmtn4hyysl/view,fryola oil tin,0
1242,Kings Oil Tin,Oils & Ghee,0,kings oil tin,https://drive.google.com/file/d/1kY5HfPX0pX5CObZogtzDz5zs-ZK1UwYc/view,kings oil tin,0
1243,SRILALITHA HMT,Others,0,srilalitha hmt,https://drive.google.com/file/d/1ynTjOyLiUZshjcq1Ur4q1wri7yrTCmCE/view,srilalitha hmt,0
1244,Mustard Sauce 200g,Spices & Masalas,0,mustard sauce 200g,https://drive.google.com/file/d/17O8Vvhkui0zhuoXh297RC5e72JziaXGL/view,mustard sauce 200g,0
1245,Sauce GC 200G,Sauces & Pickles,0,sauce gc 200g,https://drive.google.com/file/d/1Xud7D04IciggOw6R-H3zTVVw8Ue0XfG3/view,sauce gc 200g,0
1246,Catch PAV Bachi Masala,Spices & Masalas,0,catch pav bachi masala,https://drive.google.com/file/d/1STb9w5elHxgcCaHIOiKNyqPQv0tu3wL4/view,catch pav bachi masala,0
1247,Catch Dry Ginger Powder,Spices & Masalas,0,catch dry ginger powder,https://drive.google.com/file/d/1oE5fkJ4gUQB1NKTS0tpaUT1h7VpzYI7k/view,catch dry ginger powder,0
1248,Rajma Masala,Pulses & Dals,0,rajma masala,https://drive.google.com/file/d/1DGpAz9YZV4vEvfUP8rmhYg-Wc36nWQj8/view,rajma masala,0
1249,Sri Dhaniya Powder,Spices & Masalas,0,sri dhaniya powder,https://drive.google.com/file/d/1P8mhdfP1eHTq29IUpAbN9ziHSyyxjuAA/view,sri dhaniya powder,0
1250,Jeera Powder,Spices & Masalas,0,jeera powder,https://drive.google.com/file/d/1cHs6gyIPhlULjSLGubh5LPBsgQ_XlI6o/view,jeera powder,0
1251,Cow Ghee,Oils & Ghee,0,cow ghee,https://drive.google.com/file/d/1kHQVWFlemuHxtHyCgmpGT1K3iPEJ2avK/view,cow ghee,0
1252,Amul Pure Ghee,Oils & Ghee,0,amul pure ghee,https://drive.google.com/file/d/1nqksYez736hz0mnkLjG6dQpmj7AtEdd9/view,amul pure ghee,0
1253,Red Chilli Papad,Spices & Masalas,0,red chilli papad,https://drive.google.com/file/d/1kAt3EzmvGuTb5TPB-Qjr0FSrFksm1eId/view,red chilli papad,0
1254,Garlic Papad,Snacks & Papad,0,garlic papad,https://drive.google.com/file/d/1KwB2m7VVV81AMx92nRoZZdDalpJE_sVo/view,garlic papad,0
1255,Babaji Ka Masala,Spices & Masalas,0,babaji ka masala,https://drive.google.com/file/d/1LzStGjokYTjddoY_oKtsW4tZetpHe0Yb/view,babaji ka masala,0
1256,Milky Mist cond,Dairy,0,milky mist cond,https://drive.google.com/file/d/1c9jbw9Jo8gfK-D9xtAPvzB066rDJyZYp/view,milky mist cond,0
1257,Bisleri,Beverages & Syrups,0,bisleri,https://drive.google.com/file/d/1hBUsOhS2MAMZCf5FUTArY1IIqxeBOy5J/view,bisleri,0
1258,Tomato Sauce Smith,Sauces & Pickles,0,tomato sauce smith,https://drive.google.com/file/d/1fTBj_rDDLQ1xWSMtel6hOyWhZ4_TsFJR/view,tomato sauce smith,0
1259,Rajbhoj Makhana,Dry Fruits & Nuts,0,rajbhoj makhana,https://drive.google.com/file/d/1LAujEHRlMaqCWlNQu2aCuShJvA4wOhge/view,rajbhoj makhana,0
1260,Murmura,Others,0,murmura,https://drive.google.com/file/d/1crgTvN5B_JNw1E2UMfxhOQLdScvYtBRg/view,murmura,0
1261,Blue Curacao,Beverages & Syrups,0,blue curacao,https://drive.google.com/file/d/1_RgaZlvZMGCPNyLMOObgoBl2IhHBPCFS/view,blue curacao,0
1262,Red Curry Paste,Sauces & Pickles,0,red curry paste,https://drive.google.com/file/d/1yY_wo6tWTAEH3XzUZTWTskcJX0575QDE/view,red curry paste,0
1263,Pineapple Slice,Others,0,pineapple slice,https://drive.google.com/file/d/1cMAjp8URnhUwpirT0CTwepfc6UCsAJm0/view,pineapple slice,0
1264,Sauce Powder,Spices & Masalas,0,sauce powder,https://drive.google.com/file/d/1iLxzRJ8UoOAvcyUIFXwq6NfKYcTaBbjp/view,sauce powder,0
1265,Sushi Rice,Rice & Flour,0,sushi rice,https://drive.google.com/file/d/1RSulTiQTmz4Lc9r2QdHcpJs2ALj62yzE/view,sushi rice,0
1266,Malas Mixed Fruit Jam,Sauces & Pickles,0,malas mixed fruit jam,https://drive.google.com/file/d/18vQc_qaQFwJY7jUV3xT-IzX06M2tdIyj/view,malas mixed fruit jam,0
1267,Sarwar Paprika Powder,Spices & Masalas,0,sarwar paprika powder,https://drive.google.com/file/d/1dWIpNdPhGJpw1LrOefAUABOaciS7UXrh/view,sarwar paprika powder,0
1268,Chocos,Baking,0,chocos,https://drive.google.com/file/d/1czgEtonQRze2awmvT9CeaJeXGGewe5Fc/view,chocos,0
1269,Premium Tea,Tea & Coffee,0,premium tea,https://drive.google.com/file/d/1eJMpXf0sDYyGTMiQHVoH06Ix5gIpYXJY/view,premium tea,0
1270,Amul Fresh,Dairy,0,amul fresh,https://drive.google.com/file/d/1GsPoRIdUJ16_xdEdQc__sFmHk7Zk7bVF/view,amul fresh,0
1271,White Cholocate,Others,0,white cholocate,https://drive.google.com/file/d/1f_ypUbDkk-hQ-Zqy7M3p76taUVUnGgv7/view,white cholocate,0
1272,Fortune Sona Rice,Rice & Flour,0,fortune sona rice,https://drive.google.com/file/d/1OvyKi9qJMao6Xhz9cS3B-xD1s-5UAXL0/view,fortune sona rice,0
1273,AAdhar oil,Oils & Ghee,0,aadhar oil,https://drive.google.com/file/d/1r_ICCqEU231bVpvT5cQxYv5ggZ6NnfPs/view,aadhar oil,0
1274,Salad Mayonnaise,Dairy,0,salad mayonnaise,https://drive.google.com/file/d/1oTMnQMHk1co3SeqII7gjXwVsfNuHjyxg/view,salad mayonnaise,0
1275,Corn Flour 25Kg,Rice & Flour,0,corn flour 25kg,https://drive.google.com/file/d/1t-SIIUYrteVmwLyz80wFff4mLyeWGXRn/view,corn flour 25kg,0
1276,Milky Mist Paneer,Dairy,0,milky mist paneer,https://drive.google.com/file/d/1MiEItN-thNeGLMMtSYKF42C-L8wySIa1/view,milky mist paneer,0
1277,Veg Noodles,Pasta & Noodles,0,veg noodles,https://drive.google.com/file/d/1r5Yb21tzh8D3rqvosnblhvDZXWSIl-tU/view,veg noodles,0
1278,Classic Mango Pickle,Sauces & Pickles,0,classic mango pickle,https://drive.google.com/file/d/1-_RRF7_DlzRdMP3fzjRTY-9NhNFQSA-t/view,classic mango pickle,0
1279,Red Cerryies Syrup,Beverages & Syrups,0,red cerryies syrup,https://drive.google.com/file/d/1H4DCOW3FVydA7JtLqxTkjR4LJjNuya0Y/view,red cerryies syrup,0
1280,Creamy Coconut,Dairy,0,creamy coconut,https://drive.google.com/file/d/1JDIdciSpDBdn_pOYzPg3SjOVDLwRmqrF/view,creamy coconut,0
1281,Amul Taja,Dairy,0,amul taja,https://drive.google.com/file/d/1E_cvBICLPEA5BZKaj5i1EnNkXO816Kjc/view,amul taja,0
1282,GC Dark Soya Sauce,Sauces & Pickles,0,gc dark soya sauce,https://drive.google.com/file/d/1LzBqmYuSAhP39QTLu5XGqAxxqehJfRkp/view,gc dark soya sauce,0
1283,Guruji Mithaas,Others,0,guruji mithaas,https://drive.google.com/file/d/17LgeUpIT344R1ByY4U1AXJe2EQn6s3k2/view,guruji mithaas,0
1284,Jaggery Powder,Spices & Masalas,0,jaggery powder,https://drive.google.com/file/d/1ryfBS68-SpYsxGD9qIgT6qLcr5dlAuuk/view,jaggery powder,0
1285,Popcorn Kernels,Snacks & Papad,0,popcorn kernels,https://drive.google.com/file/d/1QLwEvxhPX9rZ7pE7416OAZnPV-PUdPxJ/view,popcorn kernels,0
1286,777 sarbat,Beverages & Syrups,0,777 sarbat,https://drive.google.com/file/d/1u6v8VEaWQo2R6tRz8fCr_bj-9ia-817t/view,777 sarbat,0
1287,Desi Ghee,Oils & Ghee,0,desi ghee,https://drive.google.com/file/d/1gc5GFnwlJoyeiazTDc2GYOSl1afcn4hH/view,desi ghee,0
1288,Sarbat Khus,Beverages & Syrups,0,sarbat khus,https://drive.google.com/file/d/1uLLTKK41T6xzJ3Twob4CRySLLtul3KJH/view,sarbat khus,0
1289,Sarbat Rose,Beverages & Syrups,0,sarbat rose,https://drive.google.com/file/d/16vGIlSLRWFeQVlrWDKdD4VI53iOK8UyA/view,sarbat rose,0
1290,R Pure Sanath Powder,Spices & Masalas,0,r pure sanath powder,https://drive.google.com/file/d/1Y5VqtBPbuvynsVlqkY3_snzjuBRSZ-Xk/view,r pure sanath powder,0
1291,Semiya,Pasta & Noodles,0,semiya,https://drive.google.com/file/d/1R2Vn15z9hv8nTmh7DkuNeGAoxbXB7T92/view,semiya,0
1292,Choco Chips,Baking,0,choco chips,https://drive.google.com/file/d/1zRUYwmWD5eNvR44hcQ_LZnLpkWsrvxZR/view,choco chips,0
1293,Dry Fruits,Dry Fruits & Nuts,0,dry fruits,https://drive.google.com/file/d/1rwsG-wapOdB7gzjQf4uqxT7O7y_Avd7f/view,dry fruits,0
1294,Phalli Spl,Others,0,phalli spl,https://drive.google.com/file/d/1M3MmIUSXnBc6qI-ab3FgkyE9UgdNQecK/view,phalli spl,0
1295,Amul Cheese,Dairy,0,amul cheese,https://drive.google.com/file/d/1Acj1hg4LFH23bWCHr9Ckyo99qqrYyjO8/view,amul cheese,0
1296,Switz Spring Roll,Others,0,switz spring roll,https://drive.google.com/file/d/1IAVBhAcHpxU5aCdrHcxtob-xzSx7eiR_/view,switz spring roll,0
1297,Green Peas,Others,0,green peas,https://drive.google.com/file/d/1b0HVTN7vEHFjIfAlJ6m2uVUmw4L-TH56/view,green peas,0
1298,Premium Butter,Oils & Ghee,0,premium butter,https://drive.google.com/file/d/1juutk-xKv-6r4haMQQAc3T5vOp99lOYo/view,premium butter,0
1299,Nutralite White Butter,Oils & Ghee,0,nutralite white butter,https://drive.google.com/file/d/1ObheSOU6Osjq5txlA_SeRNzwujgn4_CD/view,nutralite white butter,0
1300,Pani Puri Masala,Spices & Masalas,0,pani puri masala,https://drive.google.com/file/d/1itfod8i7S55L9z2BQ8wuUtL97iqqElXv/view,pani puri masala,0
1301,MDH Meat Ka Masala,Spices & Masalas,0,mdh meat ka masala,https://drive.google.com/file/d/1jlKlmsChkkRNF0BC9J2CXUhgQ6YLEfT2/view,mdh meat ka masala,0
1302,Iodised Crystal Salt,Spices & Masalas,0,iodised crystal salt,https://drive.google.com/file/d/1vnHVpqI_16iZYI5dpdK9DFjstkBlE5MX/view,iodised crystal salt,0
1303,Try Mi Papad Plain,Snacks & Papad,0,try mi papad plain,https://drive.google.com/file/d/11TlaLroTi8NkTrdIVh5m3KQKcxDGOSz4/view,try mi papad plain,0
1304,Big Boss Millet,Rice & Flour,0,big boss millet,https://drive.google.com/file/d/1xbg1r-DuneRicYM0Zj-GZ3E_GyzxoiZK/view,big boss millet,0
1305,Ragi Flour,Rice & Flour,0,ragi flour,https://drive.google.com/file/d/13d5d7YLQuhRSpoTfu56hvN0RFphP4d70/view,ragi flour,0
1306,Pre Diamond Makhana,Dry Fruits & Nuts,0,pre diamond makhana,https://drive.google.com/file/d/1HniFgdrGn2OgF72YtMsUEzpYCHaNDDTX/view,pre diamond makhana,0
1307,Catch Kasmiri Mirch Powder,Spices & Masalas,0,catch kasmiri mirch powder,https://drive.google.com/file/d/1NwyhSIcKxpH2FIUTmGIJDAV708mvtX2O/view,catch kasmiri mirch powder,0
1308,Dry Rose Patta,Rice & Flour,0,dry rose patta,https://drive.google.com/file/d/1gjBHr-oNNWL2iWVWJ-5_qMC6V02fRZ27/view,dry rose patta,0
1309,Souf,Spices & Masalas,0,souf,https://drive.google.com/file/d/1aX1MgZCSgL3QVYJlVdTlf_1ulSXlYhKK/view,souf,0
1310,Red Chilli Flakes,Spices & Masalas,0,red chilli flakes,https://drive.google.com/file/d/1bR-prRiyk-qeaoQoSSNeHnBtBktyr3Zp/view,red chilli flakes,0
1311,Del Mont Tomato K 8G,Others,0,del mont tomato k 8g,https://drive.google.com/file/d/1kX8E4_iw0stOdHbVzp1_ljz_Ovc3IRnE/view,del mont tomato k 8g,0
1312,Anjani Sweet Souf,Spices & Masalas,0,anjani sweet souf,https://drive.google.com/file/d/1GLcgx4LwXJFA3ibS7_vdZfmEBFyPO3H5/view,anjani sweet souf,0
1313,Ganesh Papad,Snacks & Papad,0,ganesh papad,https://drive.google.com/file/d/1hJ-JY1sPJBH2V2h-GDVn_9_74rHSLjms/view,ganesh papad,0
1314,PERI PERI Marinade,Spices & Masalas,0,peri peri marinade,https://drive.google.com/file/d/1w1CQMWVwriyqRW8H5MMWpevxHiDCHDTS/view,peri peri marinade,0
1315,Bush RPS,Others,0,bush rps,https://drive.google.com/file/d/1eXATH0vVIvb5uJ6eSnJbNy70ynQ7GqCS/view,bush rps,0
1316,ReFined Sugar,Sugar & Salt,0,refined sugar,https://drive.google.com/file/d/162056ZPgRRiN_h_X7B2fxUd0yoRhLf50/view,refined sugar,0
1317,Tata Salt Crystal,Spices & Masalas,0,tata salt crystal,https://drive.google.com/file/d/1p6YyAWbcKxcyl-9caVM9FhXiKC1rEhlh/view,tata salt crystal,0
1318,Annapurna Chki Atta,Rice & Flour,0,annapurna chki atta,https://drive.google.com/file/d/1zIk0i6bHiB_jALCMBg-bLB1Fa9WSBWts/view,annapurna chki atta,0
1319,Ankur Salt,Spices & Masalas,0,ankur salt,https://drive.google.com/file/d/1CFd85zGSQewX3esZtDgTRaFKGfFc3WL4/view,ankur salt,0
1320,Kasuri Mehthe,Spices & Masalas,0,kasuri mehthe,https://drive.google.com/file/d/1llv1TjQCswEOSr1IBCUX7TcBzOHKDEWL/view,kasuri mehthe,0
1321,Shabash CUT Mango Pickle,Sauces & Pickles,0,shabash cut mango pickle,https://drive.google.com/file/d/13w8F0js_T97BuPk2AB7-FJN_bVua3otN/view,shabash cut mango pickle,0
1322,Swastik Mango Pickle,Sauces & Pickles,0,swastik mango pickle,https://drive.google.com/file/d/1JlyFKW0CUhc45DgtqBhMlriXKyeChoPc/view,swastik mango pickle,0
1323,Gongrua Pickle,Sauces & Pickles,0,gongrua pickle,https://drive.google.com/file/d/1fZHWXWjzS-KO8tVEvQmk98aBKugw9bBh/view,gongrua pickle,0
1324,Dansal Soya Granules,Sauces & Pickles,0,dansal soya granules,https://drive.google.com/file/d/10Q-GLEv0f_K-NfhYyuZGlMLizhRfFvyz/view,dansal soya granules,0
1325,Curd Chilli,Spices & Masalas,0,curd chilli,https://drive.google.com/file/d/1jQmGOgnD0jGbbYZDHoKniuV2fpi2KOkO/view,curd chilli,0
1326,watermelon seeds.,Seeds,0,watermelon seeds.,https://drive.google.com/file/d/1fkynro4k2CYw6T9nDegtRxj-fO9zYBRu/view,watermelon seeds.,0
1327,K Phool,Others,0,k phool,https://drive.google.com/file/d/1DuIfwuzZPg_PIKx_pHumjcEaVSkag9yd/view,k phool,0
1328,Cookery Little Millet,Rice & Flour,0,cookery little millet,https://drive.google.com/file/d/1t64nZCGH_YK7WOws-yjsVleCHs6FVnbV/view,cookery little millet,0
1329,Sagar Falooda Sev,Snacks & Papad,0,sagar falooda sev,https://drive.google.com/file/d/1oP6HL56kpnYLPnF5LEpw7Smd-VFuhn-p/view,sagar falooda sev,0
1330,MDH Chana Masal,Pulses & Dals,0,mdh chana masal,https://drive.google.com/file/d/1cqJwfa4BV7LX2WdTGeoDorU6imE11ywy/view,mdh chana masal,0
1331,Maraconi Pasta,Pasta & Noodles,0,maraconi pasta,https://drive.google.com/file/d/1z1h9PTzinMkK3xit1lqlUzBsbKEi0j-u/view,maraconi pasta,0
1332,Ginzer Garlic Paste,Sauces & Pickles,0,ginzer garlic paste,https://drive.google.com/file/d/1TufnCTUmCYayzkbWfcVlCDzvYXDDMYxX/view,ginzer garlic paste,0
1333,Baking Powder,Spices & Masalas,0,baking powder,https://drive.google.com/file/d/1XjkNrcWdd8l_sn1stN6VUxqJBiuKHpwi/view,baking powder,0
1334,Vanilla Flavour,Baking,0,vanilla flavour,https://drive.google.com/file/d/13zIVOzqq1V21pqGmBjFtByJicIuzDg7l/view,vanilla flavour,0
1335,72 M Alumi Foil,Oils & Ghee,0,72 m alumi foil,https://drive.google.com/file/d/1KQd1rtfnCfKLN-ugrC2AY2DVEQRzDVOU/view,72 m alumi foil,0
1336,SpacHetti Pasta gc,Pasta & Noodles,0,spachetti pasta gc,https://drive.google.com/file/d/1xCzIeyD8eGPI5J_HnbCpxgjbyADaWuV3/view,spachetti pasta gc,0
1337,MDH Jeera Masala,Spices & Masalas,0,mdh jeera masala,https://drive.google.com/file/d/1bgdnpa3cM0CtS4uM-CQKQrz3DA6OxtCC/view,mdh jeera masala,0
1338,Anchur Powder,Spices & Masalas,0,anchur powder,https://drive.google.com/file/d/1ZwkuvUl1VjBU-5v3XxR28iNjh6Lcd9Ia/view,anchur powder,0
